"EFFECTIVE_START_DATE","EFFECTIVE_END_DATE","PERSON_ID","PERSON_NUMBER","BLOOD_TYPE","CORRESPONDENCE_LANGUAGE","START_DATE","DATE_OF_BIRTH","DATE_OF_DEATH","COUNTRY_OF_BIRTH","REGION_OF_BIRTH","TOWN_OF_BIRTH","SOURCESYSTEMOWNER","SOURCESYSTEMID","ACTIONCODE","REASONCODE","PERSONDUPLICATECHECK","RETIREMENTDATE"
"17-10-2009","31-12-4712",28826,"412",,,"17-10-2009","19-06-1951",,,,,,,,,,
"17-10-2007","31-12-4712",28112,"293",,,"17-10-2007","19-06-1981",,,,,,,,,,
"17-10-2007","31-12-4712",28203,"339",,,"17-10-2007","19-06-1951",,,,,,,,,,
"17-10-2006","31-12-4712",13748,"1360",,,"17-10-2006","12-12-1966",,,,,,,,,,
"17-10-2006","31-12-4712",14081,"138",,,"02-05-2001","22-10-1955",,,,,,,,,,
"17-10-2006","31-12-4712",28899,"384",,,"17-10-2006","19-06-1981",,,,,,,,,,
"17-10-2004","31-12-4712",15957,"234",,,"17-10-2004","19-06-1951",,,,,,,,,,
"17-10-2004","31-12-4712",23319,"226",,,"17-12-2003","10-08-1960",,,,,,,,,,
"17-10-2004","31-12-4712",23414,"192",,,"17-10-2004","19-06-1981",,,,,,,,,,
"17-10-2002","31-12-4712",8164,"941",,,"17-10-2002","11-08-1980",,,,,,,,,,
"17-09-2003","31-12-4712",11028,"1161",,,"22-10-2002","19-06-1951",,,,,,,,,,
"17-08-2007","31-12-4712",31021,"2101",,,"17-08-2007","19-06-1976",,,,,,,,,,
"17-08-2005","31-12-4712",14028,"85",,,"14-11-2004","10-08-1960",,,,,,,,,,
"17-08-2005","31-12-4712",23324,"231",,,"14-12-2002","10-08-1960",,,,,,,,,,
"17-08-2004","31-12-4712",18865,"1576",,,"14-06-2002","19-06-1965",,,,,,,,,,
"17-08-2001","31-12-4712",11358,"1217",,,"17-08-2001","11-12-1944",,,,,,,,,,
"17-08-2001","31-12-4712",12335,"126",,,"17-08-2001","04-05-1959",,,,,,,,,,
"17-07-2004","31-12-4712",23351,"258",,,"19-09-2000","19-06-1951",,,,,,,,,,
"17-06-2013","31-12-4712",28972,"462",,,"15-05-2010","11-11-1951",,,,,,,,,,
"17-06-2012","31-12-4712",28967,"460",,,"15-05-2009","11-11-1951",,,,,,,,,,
"17-06-2011","31-12-4712",27849,"300",,,"15-05-2008","11-11-1951",,,,,,,,,,
"17-06-2010","31-12-4712",27844,"298",,,"15-05-2007","11-11-1951",,,,,,,,,,
"17-06-2009","31-12-4712",22702,"284",,,"15-05-2006","11-11-1951",,,,,,,,,,
"17-06-2008","31-12-4712",22697,"282",,,"15-05-2005","11-11-1951",,,,,,,,,,
"17-06-2007","31-12-4712",14041,"98",,,"16-06-2006","22-10-1955",,,,,,,,,,
"17-06-2002","31-12-4712",10947,"1125",,,"20-04-2001","19-06-1951",,,,,,,,,,
"17-06-2002","31-12-4712",12051,"1268",,,"14-02-2001","12-02-1966",,,,,,,,,,
"17-05-2013","31-12-4712",29022,"452",,,"15-04-2010","11-11-1951",,,,,,,,,,
"17-05-2012","31-12-4712",29017,"450",,,"15-04-2009","11-11-1951",,,,,,,,,,
"17-05-2011","31-12-4712",27885,"260",,,"15-04-2008","11-11-1951",,,,,,,,,,
"17-05-2010","31-12-4712",27880,"258",,,"15-04-2007","11-11-1951",,,,,,,,,,
"17-05-2009","31-12-4712",22738,"159",,,"15-04-2006","11-11-1951",,,,,,,,,,
"17-05-2008","31-12-4712",22733,"157",,,"15-04-2005","11-11-1951",,,,,,,,,,
"17-05-2005","31-12-4712",23369,"276",,,"22-08-2000","12-12-1966",,,,,,,,,,
"17-05-2004","31-12-4712",26895,"1854",,,"17-05-2004","15-04-1967",,,,,,,,,,
"17-04-2013","31-12-4712",28988,"468",,,"15-03-2010","11-11-1951",,,,,,,,,,
"17-04-2013","31-12-4712",29038,"458",,,"15-03-2010","11-11-1951",,,,,,,,,,
"17-04-2013","31-12-4712",28999,"474",,,"15-03-2010","11-11-1951",,,,,,,,,,
"17-04-2012","31-12-4712",29034,"456",,,"15-03-2009","11-11-1951",,,,,,,,,,
"17-04-2012","31-12-4712",28984,"466",,,"15-03-2009","11-11-1951",,,,,,,,,,
"17-04-2012","31-12-4712",28996,"472",,,"15-03-2009","11-11-1951",,,,,,,,,,
"17-04-2011","31-12-4712",27901,"266",,,"15-03-2008","11-11-1951",,,,,,,,,,
"17-04-2011","31-12-4712",27865,"306",,,"15-03-2008","11-11-1951",,,,,,,,,,
"17-04-2011","31-12-4712",27876,"312",,,"15-03-2008","11-11-1951",,,,,,,,,,
"17-04-2010","31-12-4712",27897,"264",,,"15-03-2007","11-11-1951",,,,,,,,,,
"17-04-2010","31-12-4712",27873,"310",,,"15-03-2007","11-11-1951",,,,,,,,,,
"17-04-2010","31-12-4712",27861,"304",,,"15-03-2007","11-11-1951",,,,,,,,,,
"17-04-2009","31-12-4712",22754,"165",,,"15-03-2006","11-11-1951",,,,,,,,,,
"17-04-2009","31-12-4712",22718,"290",,,"15-03-2006","11-11-1951",,,,,,,,,,
"17-04-2009","31-12-4712",22729,"296",,,"15-03-2006","11-11-1951",,,,,,,,,,
"17-04-2008","31-12-4712",22750,"163",,,"15-03-2005","11-11-1951",,,,,,,,,,
"17-04-2008","31-12-4712",22714,"288",,,"15-03-2005","11-11-1951",,,,,,,,,,
"17-04-2008","31-12-4712",22726,"294",,,"15-03-2005","11-11-1951",,,,,,,,,,
"17-03-2008","31-12-4712",23341,"248",,,"14-03-2003","12-12-1966",,,,,,,,,,
"17-03-2007","31-12-4712",14123,"180",,,"17-03-2007","04-04-1962",,,,,,,,,,
"17-03-2002","31-12-4712",4919,"220-34-3039",,,"01-01-1990","19-11-1969",,,,,,,,,,
"17-03-2002","31-12-4712",4914,"240-02-7777",,,"01-01-1990","02-02-1958",,,,,,,,,,
"17-03-1998","31-12-4712",20,"19",,,"28-08-1958","24-07-1962",,,,,,,,,,
"17-02-2002","31-12-4712",13116,"201-99-8766",,,"01-01-2001","12-04-1965",,,,,,,,,,
"17-02-1995","31-12-4712",12091,"66",,,"15-02-1995","11-08-1976",,,,,,,,,,
"17-01-2012","31-12-4712",29140,"1929",,,"15-02-2009","02-09-1965",,,,,,,,,,
"17-01-2012","31-12-4712",29579,"335",,,"15-02-2009","02-09-1965",,,,,,,,,,
"17-01-2011","31-12-4712",29116,"1913",,,"15-02-2008","02-09-1965",,,,,,,,,,
"17-01-2011","31-12-4712",29555,"319",,,"15-02-2008","02-09-1965",,,,,,,,,,
"17-01-2010","31-12-4712",22921,"1715",,,"15-02-2007","11-11-1951",,,,,,,,,,
"17-01-2009","31-12-4712",27767,"303",,,"15-02-2006","12-10-1969",,,,,,,,,,
"17-01-2009","31-12-4712",22897,"1699",,,"15-02-2006","11-11-1951",,,,,,,,,,
"17-01-2008","31-12-4712",27791,"154",,,"15-02-2006","12-10-1969",,,,,,,,,,
"17-01-2008","31-12-4712",24194,"138",,,"15-02-2005","12-10-1969",,,,,,,,,,
"17-01-2008","31-12-4712",16588,"1551",,,"15-02-2005","12-10-1969",,,,,,,,,,
"17-01-2008","31-12-4712",23269,"198",,,"15-02-2005","12-10-1969",,,,,,,,,,
"17-01-2007","31-12-4712",14180,"1528",,,"15-02-2004","12-10-1969",,,,,,,,,,
"17-01-2002","31-12-4712",4917,"201-01-1221",,,"01-01-1990","16-08-1950",,,,,,,,,,
"17-01-2002","31-12-4712",12700,"142",,,"10-06-1999","04-05-1955",,,,,,,,,,
"17-01-2001","31-12-4712",4635,"414",,,"17-01-2001","05-10-1968",,,,,,,,,,
"17-01-1997","31-12-4712",1053,"184",,,"17-01-1997","12-03-1957",,,,,,,,,,
"16-12-2006","31-12-4712",13778,"1390",,,"30-03-2006","19-06-1951",,,,,,,,,,
"16-12-2000","31-12-4712",3206,"295",,,"15-01-1994","31-12-1970",,,,,,,,,,
"16-11-2005","31-12-4712",11006,"1139",,,"24-06-2003","22-10-1955",,,,,,,,,,
"16-11-2004","31-12-4712",19147,"1579",,,"16-11-2004",,,,,,,,,,,
"16-11-2004","31-12-4712",19146,"1578",,,"16-11-2004",,,,,,,,,,,
"16-11-2001","31-12-4712",10913,"1091",,,"01-10-2000","10-09-1959",,,,,,,,,,
"16-10-2008","31-12-4712",29272,"1951",,,"02-10-2003","12-12-1966",,,,,,,,,,
"16-10-2006","31-12-4712",27817,"192735237",,,"01-09-2006","02-09-1965",,,,,,,,,,
"16-10-2005","31-12-4712",23169,"1816",,,"02-10-2000","12-12-1966",,,,,,,,,,
"16-09-2006","31-12-4712",14052,"109",,,"16-09-2006","22-10-1955",,,,,,,,,,
"16-08-2005","31-12-4712",13801,"1413",,,"16-08-2005","19-06-1951",,,,,,,,,,
"16-08-2003","31-12-4712",12304,"117",,,"16-08-2003","10-12-1958",,,,,,,,,,
"16-08-1998","31-12-4712",1542,"214",,,"16-08-1998","29-11-1965",,,,,,,,,,
"16-08-1997","31-12-4712",12337,"128",,,"16-08-1997","28-06-1960",,,,,,,,,,
"16-07-2004","31-12-4712",14039,"96",,,"16-07-2004","12-12-1966",,,,,,,,,,
"16-07-2000","31-12-4712",2859,"274",,,"12-01-1995","16-03-1958",,,,,,,,,,
"16-07-2000","31-12-4712",2857,"273",,,"22-06-2000","28-01-1974",,,,,,,,,,
"16-06-2007","31-12-4712",14075,"132",,,"14-05-2004","10-08-1960",,,,,,,,,,
"16-06-2003","31-12-4712",12342,"133",,,"26-03-1997","17-12-1957",,,,,,,,,,
"16-06-2002","31-12-4712",6346,"552",,,"06-07-1999","04-02-1966",,,,,,,,,,
"16-06-2000","31-12-4712",2852,"267",,,"15-06-1996","13-06-1970",,,,,,,,,,
"16-06-1992","31-12-4712",6505,"578",,,"16-06-1992","16-03-1943",,,,,,,,,,
"16-05-2010","31-12-4712",29148,"1936",,,"02-10-2009","20-11-1974",,,,,,,,,,
"16-05-2010","31-12-4712",29587,"342",,,"02-10-2009","20-11-1974",,,,,,,,,,
"16-05-2009","31-12-4712",29124,"1920",,,"02-10-2008","20-11-1974",,,,,,,,,,
"16-05-2009","31-12-4712",29563,"326",,,"02-10-2008","20-11-1974",,,,,,,,,,
"16-05-2008","31-12-4712",27762,"299",,,"19-02-2006","03-02-1970",,,,,,,,,,
"16-05-2008","31-12-4712",27786,"150",,,"19-02-2006","03-02-1970",,,,,,,,,,
"16-05-2008","31-12-4712",22929,"1722",,,"02-10-2007","02-09-1965",,,,,,,,,,
"16-05-2008","31-12-4712",23342,"249",,,"19-09-2000","12-12-1966",,,,,,,,,,
"16-05-2007","31-12-4712",16583,"1547",,,"19-02-2005","03-02-1970",,,,,,,,,,
"16-05-2007","31-12-4712",22905,"1706",,,"02-10-2006","02-09-1965",,,,,,,,,,
"16-05-2007","31-12-4712",23264,"194",,,"19-02-2005","03-02-1970",,,,,,,,,,
"16-05-2007","31-12-4712",27799,"161",,,"02-10-2006","02-09-1965",,,,,,,,,,
"16-05-2007","31-12-4712",27775,"310",,,"02-10-2006","02-09-1965",,,,,,,,,,
"16-05-2007","31-12-4712",24189,"134",,,"19-02-2005","03-02-1970",,,,,,,,,,
"16-05-2006","31-12-4712",14188,"1535",,,"02-10-2004","02-09-1965",,,,,,,,,,
"16-05-2006","31-12-4712",14187,"1534",,,"10-09-2004","03-02-1970",,,,,,,,,,
"16-05-2006","31-12-4712",14175,"1524",,,"06-02-2004","03-02-1970",,,,,,,,,,
"16-05-2006","31-12-4712",24202,"145",,,"02-10-2005","02-09-1965",,,,,,,,,,
"16-05-2006","31-12-4712",16596,"1558",,,"02-10-2005","02-09-1965",,,,,,,,,,
"16-05-2006","31-12-4712",23277,"205",,,"02-10-2005","02-09-1965",,,,,,,,,,
"16-05-2003","31-12-4712",10900,"1078",,,"05-01-2002","10-09-1959",,,,,,,,,,
"16-05-2003","31-12-4712",11061,"1182",,,"05-01-2002","10-09-1959",,,,,,,,,,
"16-04-2010","31-12-4712",29345,"2024",,,"04-09-2003","04-04-1962",,,,,,,,,,
"16-04-2004","31-12-4712",14073,"130",,,"03-10-2002","28-02-1949",,,,,,,,,,
"16-04-2002","31-12-4712",7438,"892",,,"03-11-1998","13-06-1951",,,,,,,,,,
"16-04-2000","31-12-4712",13658,"59",,,"16-04-2000","02-05-1950",,"US","Maryland","Baltimore",,,,,,
"16-04-2000","31-12-4712",13657,"58",,,"16-04-2000","12-02-1965",,"US","California","San Francisco",,,,,,
"16-03-2005","31-12-4712",2403,"244",,,"09-07-1988","23-11-1966",,,,,,,,,,
"16-03-1998","31-12-4712",653,"157",,,"16-03-1998","12-05-1962",,,,,,,,,,
"16-03-1998","31-12-4712",633,"148",,,"16-03-1998","15-05-1955",,,,,,,,,,
"16-03-1998","31-12-4712",652,"156",,,"16-03-1998","11-03-1960",,,,,,,,,,
"16-03-1998","31-12-4712",654,"158",,,"16-03-1998","11-05-1962",,,,,,,,,,
"16-02-2002","31-12-4712",4910,"203-76-0191",,,"01-01-1990","12-05-1970",,,,,,,,,,
"16-02-2001","31-12-4712",3209,"298",,,"22-05-2000","11-09-1975",,,,,,,,,,
"16-02-2001","31-12-4712",4328,"390",,,"16-02-2001","01-03-1962",,,,,,,,,,
"16-02-2000","31-12-4712",2322,"235",,,"16-02-2000","07-07-1956",,,,,,,,,,
"16-01-2009","31-12-4712",14196,"1540",,,"21-11-2004","12-10-1969",,,,,,,,,,
"16-01-2008","31-12-4712",28136,"317",,,"08-11-2005","19-06-1981",,,,,,,,,,
"16-01-2007","31-12-4712",28923,"408",,,"08-11-2004","19-06-1981",,,,,,,,,,
"16-01-2005","31-12-4712",14029,"86",,,"16-01-2005","10-09-1959",,,,,,,,,,
"16-01-2005","31-12-4712",23438,"216",,,"08-11-2002","19-06-1981",,,,,,,,,,
"16-01-2004","31-12-4712",10885,"1066",,,"06-01-2003","10-08-1960",,,,,,,,,,
"16-01-2004","31-12-4712",11049,"1170",,,"06-01-2003","10-08-1960",,,,,,,,,,
"16-01-2002","31-12-4712",4909,"230-43-4343",,,"01-01-1990","08-06-1963",,,,,,,,,,
"16-01-2002","31-12-4712",6349,"553",,,"06-07-1999","04-02-1966",,,,,,,,,,
"16-01-2000","31-12-4712",10912,"1090",,,"09-03-1999","10-08-1960",,,,,,,,,,
"15-12-2007","31-12-4712",14086,"143",,,"18-08-2006","10-08-1960",,,,,,,,,,
"15-12-2006","31-12-4712",27830,"293038262",,,"12-10-2006","30-11-1974",,,,,,,,,,
"15-12-2006","31-12-4712",27829,"483910187",,,"22-09-2006","19-07-1965",,,,,,,,,,
"15-12-2004","31-12-4712",14021,"78",,,"06-06-2000","10-08-1960",,,,,,,,,,
"15-12-2002","31-12-4712",11459,"1243",,,"15-12-2002","10-08-1968",,,,,,,,,,
"15-12-1960","31-12-4712",19,"18",,,"15-12-1960","24-06-1937",,,,,,,,,,
"15-11-2006","31-12-4712",13800,"1412",,,"08-06-2005","04-04-1962",,,,,,,,,,
"15-11-2006","31-12-4712",14104,"161",,,"12-01-2004","12-12-1966",,,,,,,,,,
"15-11-2005","31-12-4712",14047,"104",,,"01-07-2001","10-08-1960",,,,,,,,,,
"15-11-2003","31-12-4712",14101,"158",,,"20-02-2002","19-06-1951",,,,,,,,,,
"15-11-2000","31-12-4712",4418,"402",,,"01-10-2000","19-06-1966",,,,,,,,,,
"15-10-2011","31-12-4712",29403,"2082",,,"08-05-2009","19-06-1971",,,,,,,,,,
"15-10-2007","31-12-4712",23338,"245",,,"16-12-2001","19-06-1951",,,,,,,,,,
"15-10-2007","31-12-4712",13752,"1364",,,"08-05-2007","19-06-1951",,,,,,,,,,
"15-10-2005","31-12-4712",14054,"111",,,"20-09-2000","19-06-1951",,,,,,,,,,
"15-10-2002","31-12-4712",7436,"890",,,"15-10-2002","23-09-1969",,,,,,,,,,
"15-09-2005","31-12-4712",13796,"1408",,,"22-03-2005","10-09-1959",,,,,,,,,,
"15-09-2004","31-12-4712",22613,"1619",,,"15-09-2004","21-07-1969",,,,,,,,,,
"15-09-2003","31-12-4712",21607,"1583",,,"15-09-2003","10-08-1968",,,,,,,,,,
"15-09-2003","31-12-4712",11033,"1166",,,"01-05-2002","22-10-1955",,,,,,,,,,
"15-08-2011","31-12-4712",29287,"1966",,,"21-02-2007","19-06-1951",,,,,,,,,,
"15-08-2002","31-12-4712",14110,"167",,,"04-01-2001","22-10-1955",,,,,,,,,,
"15-08-2001","31-12-4712",5686,"517",,,"15-08-2001","09-02-1969",,,,,,,,,,
"15-08-2001","31-12-4712",5685,"516",,,"15-08-2001","26-03-1972",,,,,,,,,,
"15-08-2001","31-12-4712",5683,"514",,,"15-08-2001","02-01-1970",,,,,,,,,,
"15-08-2001","31-12-4712",5684,"515",,,"15-08-2001","09-12-1977",,,,,,,,,,
"15-08-2001","31-12-4712",5682,"513",,,"15-08-2001","14-08-1967",,,,,,,,,,
"15-08-2001","31-12-4712",5687,"518",,,"15-08-2001","08-04-1971",,,,,,,,,,
"15-08-2001","31-12-4712",5688,"519",,,"15-08-2001","23-05-1966",,,,,,,,,,
"15-08-2001","31-12-4712",5689,"520",,,"15-08-2001","09-10-1967",,,,,,,,,,
"15-08-2001","31-12-4712",5690,"521",,,"15-08-2001","27-04-1963",,,,,,,,,,
"15-08-2001","31-12-4712",5691,"522",,,"15-08-2001","30-09-1960",,,,,,,,,,
"15-08-2001","31-12-4712",5692,"523",,,"15-08-2001","06-06-1979",,,,,,,,,,
"15-08-2001","31-12-4712",5693,"524",,,"15-08-2001","09-11-1962",,,,,,,,,,
"15-08-1998","31-12-4712",4308,"389",,,"15-08-1998","16-09-1950",,,,,,,,,,
"15-07-2006","31-12-4712",23331,"238",,,"11-01-2006","10-09-1959",,,,,,,,,,
"15-07-2004","31-12-4712",11024,"1157",,,"01-10-2003","10-08-1960",,,,,,,,,,
"15-07-2002","31-12-4712",15441,"191",,,"15-07-2002","08-07-1969",,,,,,,,,,
"15-07-2002","31-12-4712",15442,"192",,,"15-07-2002","29-03-1970",,,,,,,,,,
"15-07-1999","31-12-4712",12703,"145",,,"15-07-1999","22-12-1955",,,,,,,,,,
"15-06-2010","31-12-4712",28861,"447",,,"15-06-2010","19-06-1951",,,,,,,,,,
"15-06-2009","31-12-4712",29268,"1947",,,"20-09-2001","19-06-1951",,,,,,,,,,
"15-06-2009","31-12-4712",29291,"1970",,,"11-01-2002","22-10-1955",,,,,,,,,,
"15-06-2008","31-12-4712",28147,"328",,,"15-06-2008","19-06-1981",,,,,,,,,,
"15-06-2008","31-12-4712",28238,"374",,,"15-06-2008","19-06-1951",,,,,,,,,,
"15-06-2007","31-12-4712",28934,"419",,,"15-06-2007","19-06-1981",,,,,,,,,,
"15-06-2006","31-12-4712",23165,"1812",,,"20-09-1996","19-06-1951",,,,,,,,,,
"15-06-2006","31-12-4712",23188,"1835",,,"11-01-1999","22-10-1955",,,,,,,,,,
"15-06-2005","31-12-4712",15992,"269",,,"15-06-2005","19-06-1951",,,,,,,,,,
"15-06-2005","31-12-4712",23449,"227",,,"15-06-2005","19-06-1981",,,,,,,,,,
"15-06-2004","31-12-4712",22780,"1677",,,"15-06-2004","14-06-1960",,,,,,,,,,
"15-06-2004","31-12-4712",14172,"1522",,,"15-06-2004","14-06-1966",,,,,,,,,,
"15-06-2004","31-12-4712",31351,"2104",,,"15-06-2004","19-06-1966",,,,,,,,,,
"15-06-2004","31-12-4712",31352,"2105",,,"15-06-2004","19-06-1966",,,,,,,,,,
"15-06-2004","31-12-4712",31353,"2106",,,"15-06-2004","19-06-1966",,,,,,,,,,
"15-06-2004","31-12-4712",22774,"1671",,,"15-06-2004","12-02-1959",,,,,,,,,,
"15-06-2004","31-12-4712",22775,"1672",,,"15-06-2004","30-01-1949",,,,,,,,,,
"15-06-2004","31-12-4712",22776,"1673",,,"15-06-2004","05-03-1968",,,,,,,,,,
"15-06-2004","31-12-4712",22777,"1674",,,"15-06-2004","16-11-1971",,,,,,,,,,
"15-06-2004","31-12-4712",22778,"1675",,,"15-06-2004","30-12-1976",,,,,,,,,,
"15-06-2004","31-12-4712",22779,"1676",,,"15-06-2004","04-11-1959",,,,,,,,,,
"15-06-2003","31-12-4712",13517,"1305",,,"15-06-2003","24-11-1972",,,,,,,,,,
"15-06-2003","31-12-4712",13516,"1304",,,"15-06-2003","09-01-1977",,,,,,,,,,
"15-06-2002","31-12-4712",13458,"1287",,,"15-06-2002","19-06-1963",,,,,,,,,,
"15-06-2002","31-12-4712",13457,"1286",,,"15-06-2002","19-06-1965",,,,,,,,,,
"15-06-2000","31-12-4712",19891,"141",,,"15-06-2000","29-09-1969",,,,,,,,,,
"15-06-2000","31-12-4712",11540,"107",,,"15-06-2000","27-01-1948",,,,,,,,,,
"15-06-2000","31-12-4712",11541,"108",,,"15-06-2000","01-02-1950",,,,,,,,,,
"15-06-2000","31-12-4712",11542,"109",,,"15-06-2000","02-02-1950",,,,,,,,,,
"15-06-2000","31-12-4712",11543,"110",,,"15-06-2000","03-02-1950",,,,,,,,,,
"15-06-2000","31-12-4712",2830,"264",,,"15-06-2000","12-05-1963",,,,,,,,,,
"15-06-1999","31-12-4712",23246,"1841",,,"15-06-1999","22-09-1966",,,,,,,,,,
"15-06-1999","31-12-4712",2342,"236",,,"15-06-1999","03-08-1969",,,,,,,,,,
"15-05-2006","31-12-4712",14009,"66",,,"09-03-2002","10-08-1960",,,,,,,,,,
"15-05-2003","31-12-4712",22612,"1618",,,"15-05-2003","12-03-1981",,,,,,,,,,
"15-05-2003","31-12-4712",21606,"1582",,,"15-05-2003","10-08-1968",,,,,,,,,,
"15-05-2002","31-12-4712",10166,"1046",,,"15-05-2002","19-06-1965",,,,,,,,,,
"15-05-2002","31-12-4712",10167,"1047",,,"15-05-2002","19-06-1965",,,,,,,,,,
"15-05-2001","31-12-4712",4807,"45",,,"01-01-1999","19-08-1960",,,,,,,,,,
"15-05-2000","31-12-4712",11136,"1199",,,"15-05-2000","09-07-1971",,,,,,,,,,
"15-05-2000","31-12-4712",11137,"1200",,,"15-05-2000","30-11-1954",,,,,,,,,,
"15-05-1998","31-12-4712",12306,"119",,,"15-05-1998","09-06-1966",,,,,,,,,,
"15-05-1997","31-12-4712",32,"31",,,"01-01-1987","08-04-1954",,,,,,,,,,
"15-04-2002","31-12-4712",14080,"137",,,"13-03-2001","12-12-1966",,,,,,,,,,
"15-04-1998","31-12-4712",913,"183",,,"18-03-1998","11-05-1955",,,,,,,,,,
"15-03-2010","31-12-4712",28858,"444",,,"15-03-2010","12-12-1966",,,,,,,,,,
"15-03-2008","31-12-4712",28144,"325",,,"15-03-2008","12-12-1966",,,,,,,,,,
"15-03-2008","31-12-4712",28235,"371",,,"15-03-2008","12-12-1966",,,,,,,,,,
"15-03-2007","31-12-4712",28931,"416",,,"15-03-2007","12-12-1966",,,,,,,,,,
"15-03-2006","31-12-4712",27815,"298735342",,,"15-02-2006","12-10-1969",,,,,,,,,,
"15-03-2005","31-12-4712",23446,"224",,,"15-03-2005","12-12-1966",,,,,,,,,,
"15-03-2005","31-12-4712",23209,"229-87-4235",,,"15-02-2005","12-10-1969",,,,,,,,,,
"15-03-2005","31-12-4712",28162,"343",,,"15-03-2005","04-04-1972",,,,,,,,,,
"15-03-2005","31-12-4712",9795,"1016",,,"17-02-2002","05-10-1937",,,,,,,,,,
"15-03-2005","31-12-4712",15989,"266",,,"15-03-2005","12-12-1966",,,,,,,,,,
"15-03-2004","31-12-4712",28949,"434",,,"15-03-2004","04-04-1972",,,,,,,,,,
"15-03-2004","31-12-4712",28163,"344",,,"15-03-2004","04-09-1972",,,,,,,,,,
"15-03-2003","31-12-4712",28950,"435",,,"15-03-2003","04-09-1972",,,,,,,,,,
"15-03-2002","31-12-4712",7868,"36",,,"15-03-2002","28-03-1963",,,,,,,,,,
"15-03-2002","31-12-4712",7866,"35",,,"15-03-2002","17-05-1963",,,,,,,,,,
"15-03-2002","31-12-4712",7864,"34",,,"15-03-2002","15-01-1966",,,,,,,,,,
"15-03-2002","31-12-4712",7863,"33",,,"15-03-2002","03-01-1960",,,,,,,,,,
"15-03-2002","31-12-4712",7862,"32",,,"15-03-2002","01-03-1952",,,,,,,,,,
"15-03-2002","31-12-4712",7861,"31",,,"15-03-2002","27-11-1950",,,,,,,,,,
"15-03-2002","31-12-4712",7859,"30",,,"15-03-2002","11-10-1955",,,,,,,,,,
"15-03-2002","31-12-4712",7858,"29",,,"15-03-2002","23-04-1963",,,,,,,,,,
"15-03-2002","31-12-4712",7871,"38",,,"15-03-2002","16-02-1959",,,,,,,,,,
"15-03-2002","31-12-4712",7872,"39",,,"15-03-2002","17-09-1966",,,,,,,,,,
"15-03-2002","31-12-4712",23464,"242",,,"15-03-2002","04-04-1972",,,,,,,,,,
"15-03-2002","31-12-4712",28499,"1897",,,"15-03-2002","19-06-1955",,,,,,,,,,
"15-03-2002","31-12-4712",7869,"37",,,"15-03-2002","01-08-1957",,,,,,,,,,
"15-03-2002","31-12-4712",15475,"205",,,"15-03-2002","19-04-1955",,,,,,,,,,
"15-03-2002","31-12-4712",15477,"207",,,"15-03-2002","17-08-1959",,,,,,,,,,
"15-03-2001","31-12-4712",23465,"243",,,"15-03-2001","04-09-1972",,,,,,,,,,
"15-03-1999","31-12-4712",1514,"208",,,"15-03-1999","27-11-1972",,,,,,,,,,
"15-03-1999","31-12-4712",3601,"342",,,"15-03-1999","12-06-1964",,,,,,,,,,
"15-03-1997","31-12-4712",137,"68","AB+","US","13-03-1996","13-01-1943",,,,,,,,,,
"15-03-1996","31-12-4712",23244,"1839",,,"15-03-1996","13-11-1959",,,,,,,,,,
"15-03-1992","31-12-4712",10966,"1127",,,"15-03-1992","13-12-1953",,,,,,,,,,
"15-02-2010","31-12-4712",29283,"1962",,,"01-07-2001","10-09-1959",,,,,,,,,,
"15-02-2009","31-12-4712",29381,"2060",,,"14-11-2007","04-04-1962",,,,,,,,,,
"15-02-2007","31-12-4712",23180,"1827",,,"01-07-1996","10-09-1959",,,,,,,,,,
"15-02-2005","31-12-4712",11062,"1183",,,"12-01-2003","12-12-1966",,,,,,,,,,
"15-02-2004","31-12-4712",11009,"1142",,,"22-04-2001","10-08-1960",,,,,,,,,,
"15-02-2001","31-12-4712",8943,"949",,,"15-02-2001","17-03-1963",,,,,,,,,,
"15-02-1999","31-12-4712",3611,"346",,,"15-02-1999","21-09-1970",,,,,,,,,,
"15-02-1998","31-12-4712",692,"159","O-",,"15-02-1998","11-05-1965",,,,,,,,,,
"15-02-1998","31-12-4712",712,"160",,,"15-02-1998","02-11-1970",,,,,,,,,,
"15-02-1997","31-12-4712",240,"113",,,"15-02-1997","12-03-1960",,,,,,,,,,
"15-02-1997","31-12-4712",872,"169",,,"15-02-1997","11-06-1971",,,,,,,,,,
"15-01-2009","31-12-4712",27789,"153",,,"10-01-2006","19-07-1965",,,,,,,,,,
"15-01-2009","31-12-4712",27765,"302",,,"10-01-2006","19-07-1965",,,,,,,,,,
"15-01-2008","31-12-4712",24192,"137",,,"10-01-2005","19-07-1965",,,,,,,,,,
"15-01-2008","31-12-4712",16586,"1550",,,"10-01-2005","19-07-1965",,,,,,,,,,
"15-01-2008","31-12-4712",23267,"197",,,"10-01-2005","19-07-1965",,,,,,,,,,
"15-01-2004","31-12-4712",22676,"1661",,,"15-01-2004","19-06-1951",,,,,,,,,,
"15-01-2004","31-12-4712",22677,"1662",,,"15-01-2004","10-08-1960",,,,,,,,,,
"15-01-2004","31-12-4712",22678,"1663",,,"15-01-2004","12-12-1966",,,,,,,,,,
"15-01-2004","31-12-4712",22679,"1664",,,"15-01-2004","22-10-1955",,,,,,,,,,
"15-01-2004","31-12-4712",22680,"1665",,,"15-01-2004","04-04-1962",,,,,,,,,,
